"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2040,13.068
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2050,16.266
"World Energy Outlook 2025","Historical","Energy","Oil","Total energy supply","EJ","World",2010,173.658
"World Energy Outlook 2025","Historical","Energy","Oil","Total energy supply","EJ","World",2023,191.725
"World Energy Outlook 2025","Historical","Energy","Oil","Total energy supply","EJ","World",2024,193.305
"World Energy Outlook 2025","Current Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2035,201.082
"World Energy Outlook 2025","Current Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2040,204.008
"World Energy Outlook 2025","Current Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2050,214.555
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2035,191.531
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2040,187.452
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2050,183.918
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Oil","Total energy supply","EJ","World",2035,129.134
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Oil","Total energy supply","EJ","World",2040,91.605
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Oil","Total energy supply","EJ","World",2050,45.3
"World Energy Outlook 2025","Historical","Energy","Oil: non-energy use","Total energy supply","EJ","World",2010,25.632
"World Energy Outlook 2025","Historical","Energy","Oil: non-energy use","Total energy supply","EJ","World",2023,31.241
"World Energy Outlook 2025","Historical","Energy","Oil: non-energy use","Total energy supply","EJ","World",2024,32.054
"World Energy Outlook 2025","Current Policies Scenario","Energy","Oil: non-energy use","Total energy supply","EJ","World",2035,40.558
"World Energy Outlook 2025","Current Policies Scenario","Energy","Oil: non-energy use","Total energy supply","EJ","World",2040,43.205
"World Energy Outlook 2025","Current Policies Scenario","Energy","Oil: non-energy use","Total energy supply","EJ","World",2050,47.408
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Oil: non-energy use","Total energy supply","EJ","World",2035,39.183
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Oil: non-energy use","Total energy supply","EJ","World",2040,41.277
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Oil: non-energy use","Total energy supply","EJ","World",2050,43.92
